SHIFR=
TLIVE=920.81
TREAL=920.81
SPECTRTXT=8192
1	168
2	209
3	198
4	218
5	186
6	194
7	172
8	179
9	169
10	174
11	204
12	212
13	197
14	173
15	141
16	144
17	145
18	183
19	204
20	188
21	199
22	228
23	259
24	230
25	193
26	200
27	210
28	188
29	212
30	165
31	156
32	177
33	199
34	235
35	224
36	218
37	191
38	196
39	215
40	201
41	212
42	203
43	217
44	166
45	186
46	164
47	180
48	182
49	193
50	205
51	234
52	202
53	216
54	186
55	143
56	147
57	164
58	175
59	184
60	166
61	177
62	177
63	211
64	194
65	219
66	170
67	189
68	218
69	229
70	239
71	215
72	163
73	167
74	173
75	165
76	181
77	170
78	175
79	163
80	214
81	210
82	180
83	177
84	154
85	146
86	154
87	186
88	194
89	218
90	243
91	264
92	208
93	207
94	190
95	189
96	221
97	187
98	193
99	190
100	176
101	174
102	172
103	155
104	167
105	169
106	185
107	196
108	180
109	198
110	183
111	201
112	185
113	178
114	215
115	184
116	206
117	192
118	192
119	208
120	181
121	174
122	192
123	204
124	210
125	203
126	184
127	158
128	181
129	197
130	186
131	191
132	232
133	243
134	231
135	203
136	199
137	182
138	158
139	172
140	163
141	159
142	197
143	199
144	177
145	226
146	215
147	229
148	217
149	195
150	167
151	164
152	174
153	160
154	177
155	199
156	200
157	222
158	198
159	205
160	191
161	181
162	183
163	201
164	234
165	234
166	228
167	235
168	208
169	168
170	201
171	220
172	203
173	224
174	205
175	182
176	195
177	222
178	225
179	223
180	181
181	169
182	183
183	186
184	173
185	188
186	179
187	193
188	168
189	178
190	215
191	199
192	162
193	174
194	186
195	164
196	179
197	161
198	210
199	186
200	193
201	185
202	204
203	197
204	176
205	193
206	182
207	197
208	208
209	190
210	203
211	187
212	174
213	201
214	152
215	150
216	146
217	135
218	167
219	190
220	178
221	184
222	176
223	156
224	177
225	183
226	163
227	177
228	181
229	210
230	214
231	208
232	199
233	200
234	225
235	213
236	197
237	180
238	178
239	169
240	188
241	195
242	228
243	208
244	223
245	185
246	214
247	194
248	235
249	188
250	185
251	200
252	218
253	189
254	162
255	159
256	155
257	151
258	161
259	205
260	204
261	212
262	214
263	216
264	167
265	177
266	190
267	193
268	187
269	200
270	202
271	161
272	167
273	150
274	159
275	166
276	182
277	209
278	203
279	203
280	182
281	184
282	194
283	213
284	216
285	193
286	199
287	176
288	195
289	192
290	197
291	196
292	173
293	162
294	159
295	174
296	184
297	181
298	193
299	179
300	188
301	177
302	201
303	214
304	196
305	209
306	215
307	201
308	201
309	154
310	167
311	183
312	197
313	171
314	183
315	190
316	162
317	162
318	215
319	218
320	227
321	208
322	202
323	163
324	164
325	189
326	179
327	199
328	196
329	207
330	221
331	237
332	227
333	215
334	178
335	172
336	158
337	197
338	184
339	193
340	208
341	166
342	166
343	175
344	151
345	160
346	168
347	202
348	187
349	195
350	183
351	189
352	168
353	202
354	178
355	140
356	151
357	150
358	177
359	191
360	174
361	180
362	169
363	153
364	138
365	158
366	195
367	212
368	219
369	216
370	187
371	203
372	225
373	220
374	195
375	202
376	236
377	228
378	200
379	207
380	240
381	211
382	218
383	220
384	222
385	199
386	199
387	182
388	164
389	199
390	195
391	214
392	214
393	209
